producer.name,movie.title
Rob Reiner,A Few Good Men
Tony Scott,Top Gun
Cameron Crowe,Jerry Maguire
Rob Reiner,When Harry Met Sally
Tom Tykwer,Cloud Atlas
Lana Wachowski,Cloud Atlas
Lilly Wachowski,Cloud Atlas
James Marshall,V for Vendetta
James Marshall,V for Vendetta
Lana Wachowski,Speed Racer
Lilly Wachowski,Speed Racer
Lana Wachowski,Speed Racer
Lilly Wachowski,Speed Racer
Nancy Meyers,Something's Gotta Give
